Symbol,Sales Growth Quarterly QoQ,Net Profit Growth Quarterly QoQ,Sales Growth Quarterly YoY,Net Profit Growth Quarterly YoY,Sales Growth Yearly,Net Profit Growth,Mar26 Promoter Holding,Mar26 FII Holding,Mar26 DII Holding,Mar26 Retail holding
HEG,-8.09%,-202.64%,12.42%,-149.78%,-9.82%,-63.09%,56.28,10.23,8.62,24.87
AAVAS,6.00%,6.84%,12.33%,18.21%,16.70%,17.00%,48.88,16.74,22.13,12.25
INTELLECT,15.81%,340.67%,16.68%,-14.85%,-0.26%,3.63%,29.73,25.57,7.1,37.6
RKFORGE,10.77%,315.29%,28.46%,-69.45%,2.00%,-2.89%,43.33,21.75,4.45,30.47
RAILTEL,82.70%,127.16%,27.56%,24.94%,35.43%,21.77%,72.84,3.72,0.99,22.45
SBFC,6.69%,4.01%,25.92%,30.05%,28.14%,45.63%,52.35,6.21,21.97,19.47
BSOFT,0.08%,46.74%,2.41%,44.09%,1.84%,-17.15%,40.39,13.64,23.35,22.62
CYIENT,4.24%,-32.46%,0.93%,-64.74%,2.98%,-7.75%,23.28,15.33,40.97,20.42
TARIL,6.23%,20.30%,15.70%,-2.97%,56.23%,360.45%,64.36,8.33,1.77,25.54
CARTRADE,-3.11%,15.17%,19.84%,53.65%,30.85%,76.45%,,60.15,12.07,27.78
TEJASNET,8.44%,-7.52%,-82.55%,-194.35%,261.13%,609.00%,53.4,5.29,4.32,36.99
TTML,0.42%,486.18%,-4.13%,289.59%,9.77%,-3.82%,74.36,2.6,0.17,22.87
SONATSOFTW,-17.67%,25.05%,-3.10%,21.36%,17.93%,37.66%,28.17,8.74,25.54,37.55
NEWGEN,13.09%,69.21%,5.30%,-1.88%,19.54%,25.29%,53.52,14.48,8.85,23.15
SAPPHIRE,-2.66%,-162.37%,11.37%,-724.75%,11.09%,-67.85%,26.07,28.98,37.49,7.46
